Title,Date Created,Latitude,Longitude,Northing,Easting,Description,Address,PlaceId,Type
No Site,2020-09-22T14:29:14-07:00,47.77299531,-122.5101404,896045.547,1146101.122,,,,
No Site,2020-09-22T14:41:52-07:00,47.76657047,-122.5175802,893749.0547,1144212.049,,,,
No Site,2020-10-07T14:53:20-07:00,47.76636546,-122.5974208,894186.4907,1124578.572,,,,
No Site,2020-10-07T15:07:30-07:00,47.75140865,-122.5982899,888737.4534,1124219.739,,,,
No Site?,2020-07-15T12:17:18-07:00,47.51771539,-122.5105322,802950.581,1143631.271,,,,
No Site/NFB,2020-08-03T11:24:45-07:00,47.61118164,-122.7105954,838355.6042,1095165.163,Storm drains only,,,
Nothing,2020-06-23T10:44:55-07:00,47.442054,-122.5771271,775786.9789,1126453.271,,,,
Nothing,2020-06-23T10:50:17-07:00,47.44076008,-122.5771587,775315.3646,1126433.035,,,,
Nothing,2020-06-23T14:18:19-07:00,47.44980452,-122.5731788,778587.4707,1127504.317,,,,
Nothing,2020-06-23T14:19:14-07:00,47.44923397,-122.5736282,778382.344,1127387.674,,,,
Nothing ,2020-06-24T10:09:33-07:00,47.45640797,-122.5731229,780995.0333,1127581.428,,,,
Nothing NFB,2020-06-24T11:02:29-07:00,47.44712593,-122.5661854,777565.333,1129208.513,,,,
Private Property,2020-08-11T12:13:47-07:00,47.63657725,-122.7352017,847787.2938,1089360.026,,,,
Private Road,2020-08-10T15:01:13-07:00,47.66076388,-122.7444874,856672.1672,1087322.445,,,,
Private Road,2020-08-11T14:44:59-07:00,47.65039902,-122.7392958,852856.1485,1088494.095,,,,
Railroad ,2020-08-12T09:41:26-07:00,47.67263872,-122.7206242,860836.0646,1093323.285,,,,
Railroad ,2020-08-12T09:41:51-07:00,47.66724476,-122.7176668,858848.5726,1093996.387,,,,
Railroad ,2020-08-12T09:42:02-07:00,47.66497543,-122.7129956,857988.6999,1095123.799,,,,
Railroad Crossing,2020-08-03T09:52:30-07:00,47.549987,-122.721046,816113.4141,1091959.65,,,,
Recheck With Trimmers,2020-06-22T15:10:26-07:00,47.42898337,-122.5458806,770818.737,1134059.5,,,,
Ryan Did This,2020-07-15T07:43:02-07:00,47.51053776,-122.5136892,800353.0602,1142784.531,,,,
Ryan Did This,2020-07-15T07:43:14-07:00,47.51235634,-122.51287,801011.0617,1143003.875,,,,
Total Debris Barrier 420199,2020-07-15T11:42:46-07:00,47.51825745,-122.5076022,803129.8132,1144360.12,Outlet not found. Slope not measured,,,
US Private Possible Garbage People,2020-06-24T11:23:27-07:00,47.41812185,-122.5482006,766873.0412,1133382.553,,,,
420110 Submerged Pipe,2020-07-22T15:09:23-07:00,47.52211726,-122.5334828,804701.1531,1138003.018,,,,
420111,2020-07-22T15:07:53-07:00,47.52213897,-122.5340576,804712.7318,1137861.235,,,,
420203,2020-07-21T10:18:10-07:00,47.52120789,-122.5788304,804661.6101,1126792.784,0 passable ,,,
420204,2020-07-21T11:00:13-07:00,47.52425532,-122.5769314,805760.5204,1127291.15,Level B complete ,,,
420205,2020-07-22T11:41:15-07:00,47.53007129,-122.5630278,807791.2271,1130780.846,0 passable ,,,
420208,2020-07-21T14:46:48-07:00,47.51462665,-122.5592562,802134.8392,1131565.288,0 passable. Water surface drop 1.2 meters,,,
420209,2020-07-22T14:02:05-07:00,47.53207582,-122.5569547,808483.0188,1132299.846,,,,
420212,2020-07-22T16:05:52-07:00,47.52223396,-122.5412443,804793.2399,1136086.908,0 passable ,,,
420213,2020-07-22T16:05:17-07:00,47.52373717,-122.5256608,805242.1465,1139950.365,"Tidal, unknown pass ability ",,,
420219,2020-08-10T10:08:14-07:00,47.67971816,-122.7416397,863564.1382,1088220.47,0 passable ,,,
420227,2020-08-10T11:12:30-07:00,47.67981891,-122.7388768,863581.5484,1088901.945,,,,
420236,2020-08-25T11:12:36-07:00,47.90163018,-122.5351135,943118.937,1141172.081,33 passable ,,,
420247,2020-09-21T11:18:03-07:00,47.79860743,-122.5044325,905350.9455,1147741.877,0 passable,,,
420249,2020-09-21T13:23:15-07:00,47.80937006,-122.5147828,909341.0772,1145298.691,0 passable,,,
420250,2020-09-21T13:42:38-07:00,47.80947663,-122.5129531,909368.4679,1145749.225,,,,
420251,2020-09-21T14:35:20-07:00,47.78440463,-122.5020264,900155.9349,1148201.658,,,,
420258,2020-10-05T14:35:02-07:00,47.76781355,-122.554872,894439.1773,1135054.342,,,,
420260,2020-10-06T11:18:00-07:00,47.77259177,-122.5552323,896184.1297,1135011.173,0 passable ,,,
420266,2020-10-05T13:17:06-07:00,47.75621063,-122.5492709,890171.7007,1136321.573,0 passable,,,
420267,2020-10-05T14:07:19-07:00,47.76329373,-122.5519792,892772.257,1135722.732,0 passable,,,
Habitat Ends At Outlet,2020-09-21T14:30:48-07:00,47.78560734,-122.4992771,900577.4379,1148888.58,"RND, pcc, 0.38  Segmented culvert goes underground multiple yards before emerging back into channel",,,
Habitat Ends At outlet ,2020-09-21T11:48:11-07:00,47.80609078,-122.5036838,908075.5833,1147995.21,"0.38, RND, pcc",,,
Landowner Permission Needed,2020-07-22T15:07:38-07:00,47.52222293,-122.5383364,804770.6377,1136805.095,,,,
NFB,2020-07-21T15:06:46-07:00,47.51137252,-122.5628606,800971.466,1130643.787,,,,
NFB,2020-07-22T11:31:37-07:00,47.53022734,-122.5650198,807861.0064,1130290.379,,,,
NFB,2020-07-22T13:55:30-07:00,47.53087667,-122.5570139,808046.118,1132273.806,,,,
NFB,2020-07-22T15:28:17-07:00,47.52269452,-122.5285849,804880.4994,1139218.302,,,,
NFB,2020-07-22T15:32:47-07:00,47.52303001,-122.5280002,804999.123,1139365.872,,,,
NFB,2020-07-22T15:34:52-07:00,47.52344072,-122.5271958,805143.7852,1139568.419,,,,
NFB,2020-07-22T15:36:24-07:00,47.52378677,-122.5264592,805265.3008,1139753.604,,,,
NFB,2020-08-10T11:40:21-07:00,47.67122187,-122.7474084,860506.2887,1086711.514,Scour too small ,,,
NFB,2020-08-10T11:49:53-07:00,47.67145186,-122.7442079,860567.7073,1087502.222,No usable channel upstream. Outlet flows directly into second culvert that goes underground and disappears onto Private property. Connected by drainage ditches,,,
NFB,2020-08-10T11:55:42-07:00,47.6721043,-122.744529,860807.8786,1087429.906,Scour too small,,,
NFB,2020-08-10T12:01:28-07:00,47.6705197,-122.7353119,860165.5464,1089683.745,,,,
NFB,2020-08-25T10:22:21-07:00,47.90420511,-122.5304225,944028.4498,1142346.782,,,,
NFB,2020-08-25T10:56:20-07:00,47.90242778,-122.5428556,943458.9449,1139280.775,,,,
NFB,2020-08-25T11:40:46-07:00,47.88999684,-122.5391206,938901.2606,1140079.565,,,,
NFB,2020-09-21T12:52:35-07:00,47.79948778,-122.4965522,905622.9004,1149686.529,Storm drain hurried,,,
NFB,2020-09-21T14:34:58-07:00,47.78520518,-122.5008189,900440.3757,1148505.874,,,,
NFB,2020-09-21T14:39:00-07:00,47.78703134,-122.4997405,901099.6814,1148787.84,,,,
NFB,2020-09-21T14:43:58-07:00,47.78844641,-122.5038401,901641.3552,1147793.296,,,,
NFB Drainage Into Ravine,2020-08-25T11:37:43-07:00,47.89525994,-122.5381271,940814.5817,1140372.912,,,,
No Site,2020-06-01T10:48:28-07:00,47.40636298,-122.7620463,764031.9455,1080335.677,,,,
No Site,2020-06-01T10:48:40-07:00,47.40627382,-122.7611058,763992.7598,1080567.53,,,,
No Site,2020-06-01T10:48:51-07:00,47.40623941,-122.7587298,763963.3567,1081155.326,,,,
No Site,2020-08-25T11:40:34-07:00,47.89583421,-122.5387536,941028.0107,1140224.643,,,,
No Site,2020-09-21T14:23:18-07:00,47.79484707,-122.5224493,904092.5286,1143279.283,,,,
No Site,2020-10-05T14:00:07-07:00,47.76233298,-122.5513167,892417.6291,1135876.527,,,,
Placemark 4,2020-06-01T11:19:07-07:00,47.41316279,-122.7586657,766487.2787,1081243.498,,,,
Placemark 5,2020-06-01T11:19:14-07:00,47.41977775,-122.7532529,768860.8887,1082652.092,,,,
Placemark 6,2020-06-01T11:19:21-07:00,47.41965564,-122.7466836,768769.9771,1084276.519,,,,
Placemark 7,2020-06-03T09:38:52-07:00,47.43994479,-122.7272837,776031.6893,1089286.398,,,,
Placemark 8,2020-06-08T10:06:40-07:00,47.42403849,-122.6934498,769997.1922,1097494.939,,,,
Placemark 9,2020-06-08T10:06:47-07:00,47.42716752,-122.6899753,771114.2256,1098386.402,,,,
Placemark 10,2020-06-08T10:06:51-07:00,47.42516962,-122.6879001,770371.4812,1098879.679,,,,
Placemark 11,2020-06-08T10:48:26-07:00,47.42406553,-122.6756625,769885.1133,1101896.803,,,,
Placemark 12,2020-07-21T09:37:33-07:00,47.51599658,-122.5853831,802804.0118,1125123.917,,,,
Placemark 17,2020-07-21T14:59:21-07:00,47.51381499,-122.5603039,801845.62,1131298.712,,,,
Placemark 20,2020-07-22T13:28:22-07:00,47.5314057,-122.5569103,808238.3661,1132304.427,,,,
Possible Landowner Denial,2020-07-22T15:17:42-07:00,47.52211502,-122.5325171,804694.1871,1138241.541,,,,
Private Driveway,2020-09-21T13:31:57-07:00,47.80954854,-122.5106836,909380.4689,1146307.481,,,,
Private Road,2020-08-10T11:57:10-07:00,47.66544423,-122.7467563,858394.8272,1086812.111,,,,
420182,2020-07-06T11:07:57-07:00,47.46701699,-122.5728782,784862.0031,1127743.651,0 passable ,,,
420183,2020-07-06T11:58:14-07:00,47.46788325,-122.5733285,785180.8127,1127640.615,33 passable,,,
420184,2020-07-06T12:41:35-07:00,47.46854948,-122.5732156,785423.0173,1127674.917,33 passable,,,
420185,2020-07-06T13:43:48-07:00,47.46881836,-122.5722915,785515.0591,1127905.98,LevelB complete,,,
420186,2020-07-07T11:15:21-07:00,47.46294405,-122.5363255,783141.3075,1136743.642,0 passable ,,,
420187,2020-07-07T11:49:28-07:00,47.46081519,-122.545713,782425.0991,1134402.064,"Total barrier, large plunge pool. Slope not taken for safety reasons.",,,
420188,2020-07-07T13:03:06-07:00,47.45409028,-122.5513265,780008.9207,1132950.075,"NFB, end of fish use size, shape, material taken",,,
420189,2020-07-07T13:38:05-07:00,47.48688481,-122.5242353,791794.4797,1139957.516,,,,
420190,2020-07-08T08:52:28-07:00,47.50848117,-122.5180922,799630.904,1141677.492,0 pass ability ,,,
420191,2020-07-08T11:44:38-07:00,47.5088321,-122.5136058,799730.5399,1142789.259,0 passable,,,
420192,2020-07-08T13:14:39-07:00,47.48499872,-122.5859208,791504.0601,1124692.08,,,,
420193,2020-07-16T09:00:48-07:00,47.50114567,-122.5876608,797403.4516,1124417.872,,,,
420194,2020-07-13T13:06:04-07:00,47.48315276,-122.5965336,790900.5024,1122050.891,0 pass ,,,
420195 Need Pictures,2020-07-14T09:16:09-07:00,47.49073959,-122.6013463,793698.6935,1120934.968,0 passable ,,,
420196,2020-07-14T13:51:45-07:00,47.46863621,-122.6165543,785739.3113,1116959.909,33 passable,,,
420201 Level B Needed Pending Landowner Permission ,2020-07-13T14:36:36-07:00,47.46612395,-122.5983105,784702.6764,1121446.434,0% slope,,,
420202,2020-07-07T09:53:14-07:00,47.47405314,-122.5694364,787405.3822,1128662.03,End of Fish use Road impounded swale upstream ,,,
420217,2020-08-05T10:04:09-07:00,47.69896448,-122.7407194,870576.1896,1088646.561,,,,
420218,2020-08-05T12:26:45-07:00,47.67064483,-122.7230336,860125.6829,1092709.341,Double culvert. Level B complete,,,
420220,2020-08-05T15:24:30-07:00,47.65578015,-122.7858907,855147.828,1077069.837,Bridge,,,
420225,2020-08-18T14:43:12-07:00,47.64952238,-122.7191571,852396.1867,1093447.399,0 passable ,,,
420226,2020-08-19T13:21:51-07:00,47.64926689,-122.8081695,852932.6532,1071511.381,,,,
420232,2020-08-12T13:33:35-07:00,47.65397096,-122.7932291,854540.598,1075242.645,"Bridge, not a barrier",,,
420234,2020-08-04T11:38:00-07:00,47.64892354,-122.7728976,852554.9925,1080198.973,0 passable total debris barrier,,,
420235,2020-08-19T13:55:59-07:00,47.64609741,-122.8139466,851818.6234,1070053.971,,,,
420237,2020-08-26T14:33:20-07:00,47.87612617,-122.5715681,934049.7189,1131986.877,0 passable,,,
420238,2020-08-27T12:29:53-07:00,47.84701377,-122.5682958,923410.6958,1132511.343,0 passable ,,,
420239,2020-09-01T13:23:18-07:00,47.86277913,-122.5150552,928822.3377,1145729.514,Level T pass ability unknown,,,
420240,2020-09-01T15:05:25-07:00,47.85680397,-122.5394943,926797.2468,1139674.803,0 pass ability ,,,
420242,2020-08-20T14:00:53-07:00,47.63442487,-122.8347446,847713.3565,1064802.957,LevelB complete,,,
420243,2020-08-27T11:50:21-07:00,47.84970172,-122.569417,924398.2653,1132261.811,,,,
420244,2020-09-01T13:39:17-07:00,47.87112208,-122.5253665,931930.0858,1143276.859,0 passable,,,
420245,2020-08-04T14:32:08-07:00,47.64648892,-122.7659862,851618.1807,1081876.512,33 passable crushed outlet,,,
420246,2020-09-02T12:37:04-07:00,47.82399429,-122.5465873,914875.9844,1137623.139,0 pass ability ,,,
420248,2020-09-02T11:21:58-07:00,47.85976417,-122.5391648,927874.8149,1139783.594,0 pass ability ,,,
420253,2020-09-28T11:40:09-07:00,47.75035311,-122.5260029,887887.5703,1141989.057,67 passable ,,,
