"Title","Date Created","Latitude","Longitude","Northing","Easting","Description"
"Culvert Crossing NFB SLW 0.2","2020-07-06T15:09:19-07:00",47.5606829652914,-122.545813114709,0,0,
"Driveway Culvert NFB Rd Ditch No SLW","2020-07-30T13:54:45-07:00",47.5416248171531,-122.599533251991,0,0,
"DS Private Standpipe Possible DS Barrier","2020-07-14T14:41:55-07:00",47.5044706242716,-122.727942388936,0,0,
"Ds Private US Beginning Of Ponded System Without Channel","2020-07-21T13:58:59-07:00",47.5827069510009,-122.557932943297,0,0,
"DS Private US Rnd CST 0.45 ","2020-07-06T14:35:59-07:00",47.547294611827,-122.551504817039,0,0,
"Inlet Rnd PCC 0.99 Outlet Crossing Hwy 16 Tidal","2020-07-15T13:46:41-07:00",47.5292200517462,-122.69827312188,0,0,
"NBF No Channel No SLW","2020-07-06T11:16:52-07:00",47.5303172131873,-122.5649839792,0,0,
"NFB Ponded System Not Connect By Channel, Private Both Side","2020-07-21T14:13:28-07:00",47.5805935642217,-122.558035995616,0,0,
"NFB SLW <0.61 -0.4 Hillside Drainage","2020-07-15T13:59:05-07:00",47.5270759539086,-122.673653233658,0,0,
"No Crossing Present","2020-07-15T14:25:35-07:00",47.4966412363202,-122.63188107045,0,0,
"No Crossing Present","2020-07-15T14:25:52-07:00",47.4993388717374,-122.632932001774,0,0,
"No Crossing Storm water Facility On Either Side Wt Surface Grate","2020-07-21T14:38:12-07:00",47.5689809229436,-122.582107316033,0,0,
"Nothing","2020-07-15T10:31:57-07:00",47.4778491520956,-122.733488449332,0,0,
"Pd Culvert Cross Driveway US NFB No slw ","2020-07-30T13:53:10-07:00",47.5428553520297,-122.600267149736,0,0,
"Private Both Sides No Culvert Found ","2020-07-14T13:10:42-07:00",47.5046402569544,-122.73399207336,0,0,
"Private DS US SLW0.7 Rnd PCC 0.53?","2020-07-06T11:28:10-07:00",47.5301330961111,-122.562908610162,0,0,
"Private No Crossing Found","2020-07-14T13:15:06-07:00",47.5027411260955,-122.733719490989,0,0,
"Private US And DS, US Surface Grate 2 Big Rock WSD","2020-07-15T12:29:08-07:00",47.5220051207059,-122.701543285009,0,0,
"420271","2020-07-07T12:02:42-07:00",47.4787241602767,-122.6782433512,0,0,
"420272","2020-07-07T15:27:15-07:00",47.461753002176,-122.722930710992,0,0,
"420273","2020-07-07T20:21:40-07:00",47.4652075184634,-122.72753860396,0,0,
"420274","2020-07-08T13:21:08-07:00",47.4696168102431,-122.725133703722,0,0,
"420275","2020-07-09T13:20:37-07:00",47.4749478339932,-122.730065794461,0,0,
"420276","2020-07-09T13:21:02-07:00",47.4748116053558,-122.728480080659,0,0,
"420277","2020-07-13T14:35:32-07:00",47.4654630729759,-122.776045456406,0,0,
"420278","2020-07-13T14:36:03-07:00",47.4646805650363,-122.77223829154,0,0,
"420279","2020-07-13T14:43:44-07:00",47.4654983105256,-122.766322516083,0,0,
"420280","2020-07-13T15:43:07-07:00",47.4643664049943,-122.753072902988,0,0,
"420287 us Collection Box","2020-07-28T07:35:24-07:00",47.5430866817006,-122.599509217162,0,0,"Storm water facility"
"No Crossing","2020-07-07T13:32:41-07:00",47.4746155150897,-122.694361079046,0,0,
"No Crossing","2020-07-07T14:41:17-07:00",47.4739442630589,-122.702019198781,0,0,
"No Crossing","2020-07-07T14:41:29-07:00",47.4719982059595,-122.708005974496,0,0,
"No Crossing","2020-07-07T14:53:34-07:00",47.4697628298957,-122.716139770507,0,0,
"No Crossing No Channel","2020-07-07T12:17:10-07:00",47.474898070105,-122.690738635187,0,0,
"Nothing","2020-07-13T14:43:03-07:00",47.4654730277614,-122.764566135457,0,0,
"Nothing No Channel ","2020-07-13T15:30:06-07:00",47.46399618036,-122.757646433362,0,0,
"Placemark 19","2020-07-28T07:25:52-07:00",47.5533131450596,-122.601837001015,0,0,"No site - square bottomless culvert"
"Placemark 20","2020-07-28T07:27:26-07:00",47.5525619628792,-122.602287582325,0,0,"No site - square bottomless culvert"
"Rd Work Possible Replaced Culvert ","2020-07-09T13:21:33-07:00",47.4641888680686,-122.745020739904,0,0,
,"2020-08-17T12:38:08-07:00",47.6637051716482,-122.743811050763,0,0,
,"2020-08-17T14:02:31-07:00",47.6797105351729,-122.741576950665,0,0,
"420305 Bridge","2020-08-18T14:44:16-07:00",47.683215868865,-122.698587588481,0,0,
"420310","2020-08-26T11:27:42-07:00",47.6676161004396,-122.712978452788,0,0,
"420311","2020-08-26T11:32:51-07:00",47.6660157605436,-122.711053421102,0,0,
"Fish Use To Outlet","2020-08-26T12:14:36-07:00",47.6680916249486,-122.714266649102,0,0,
"NFB Culvert Crossing No Channel No SLW Inlet Buried Outlet Mostly Buried No SSM","2020-08-18T14:58:30-07:00",47.6757095070885,-122.705844024506,0,0,
"NFB Culvert Crossing No US Habitat No SLW","2020-08-18T10:51:18-07:00",47.7137425862592,-122.745365099419,0,0,
"NFB Culvert Crossing PCC Rnd 0.38 US No Channel No SLW Just Yard","2020-08-17T12:49:54-07:00",47.6654557382269,-122.746870797732,0,0,
"NFB Culvert Crossing PCC Rnd 0.46 No US Habitat SLW 0.2","2020-08-17T13:07:37-07:00",47.6714718864588,-122.746648909804,0,0,
"NFB Culvert Crossing Rnd PCC 0.46 No US Channel Or SLW Flat Wet Area WSD 0.26","2020-08-17T14:07:01-07:00",47.6794914797384,-122.738819856378,0,0,
"NFB Culvert Crossing RND PVC 0.61; US: 0.32 Scour Line","2020-08-26T12:53:51-07:00",47.672003272405,-122.717970602846,0,0,
"NFB culvert crossing upstream hillside drainage No Scour RND PCC 0.91","2020-08-18T13:52:12-07:00",47.693889610005,-122.699364467761,0,0,
"NFB Culvert Crossing US Collection Box No Channel","2020-08-18T10:55:48-07:00",47.7153003072214,-122.745835168858,0,0,
"NFB Culvert Crossing US Hillside Drainage For 100ft SLW 0.3","2020-08-18T10:58:54-07:00",47.7159855243601,-122.746035888667,0,0,
"No Crossing Found Possible Underground Culvert Draining Into PS","2020-08-18T11:06:10-07:00",47.7178771506271,-122.745943929373,0,0,
"No Crossing No Channel","2020-08-18T10:42:30-07:00",47.710940042812,-122.742390890693,0,0,
"Placemark 6","2020-08-18T07:48:22-07:00",47.6725326604514,-122.720557850533,0,0,
"Placemark 7","2020-08-18T07:48:26-07:00",47.6705921213099,-122.722860603404,0,0,
"Placemark 8","2020-08-18T07:48:48-07:00",47.6836051878514,-122.728773988888,0,0,
"Placemark 9","2020-08-18T07:48:53-07:00",47.6867297841922,-122.731467449993,0,0,
"Placemark 10","2020-08-18T07:49:06-07:00",47.6997666985062,-122.740818346946,0,0,
"Placemark 11","2020-08-18T07:49:09-07:00",47.6988071037418,-122.740621926669,0,0,
"Placemark 12","2020-08-18T07:49:14-07:00",47.6938401782106,-122.739031073096,0,0,
"Placemark 20","2020-08-18T14:44:55-07:00",47.6651035995337,-122.712985464011,0,0,
"Placemark 21","2020-08-18T14:45:01-07:00",47.667183755902,-122.717430876805,0,0,
"NFB 0.53 RND PCC Upstream Scour Line 0.4m","2020-09-10T13:31:00-07:00",47.7008718180886,-122.644240858065,0,0,
