"Title","Date Created","Latitude","Longitude","Northing","Easting","Description","Address","PlaceId","Type"
"No Site","2020-10-07T14:53:20-07:00",47.7663654581603,-122.597420767345,894186.490686407,1124578.57234873,,,,
"No Site","2020-10-07T15:07:30-07:00",47.7514086456929,-122.598289854771,888737.453370599,1124219.73866553,,,,
"No Site?","2020-07-15T12:17:18-07:00",47.5177153868883,-122.510532224181,802950.58100677,1143631.27087526,,,,
"No Site/NFB","2020-08-03T11:24:45-07:00",47.6111816394891,-122.710595382847,838355.604171279,1095165.16316203,"Storm drains only",,,
"Nothing","2020-06-23T10:44:55-07:00",47.4420539978107,-122.577127093108,775786.978907777,1126453.27127314,,,,
"Nothing","2020-06-23T10:50:17-07:00",47.4407600798896,-122.577158657768,775315.364611843,1126433.03485239,,,,
"Nothing","2020-06-23T14:18:19-07:00",47.449804521613,-122.573178771958,778587.470740493,1127504.31701109,,,,
"Nothing","2020-06-23T14:19:14-07:00",47.4492339692048,-122.573628232314,778382.344016037,1127387.6736428,,,,
"Nothing ","2020-06-24T10:09:33-07:00",47.4564079679247,-122.573122943525,780995.033298078,1127581.4282008,,,,
"Nothing NFB","2020-06-24T11:02:29-07:00",47.4471259340906,-122.566185410517,777565.333043867,1129208.5133089,,,,
"Private Property","2020-08-11T12:13:47-07:00",47.6365772481738,-122.735201745236,847787.293845066,1089360.02628485,,,,
"Private Road","2020-08-10T15:01:13-07:00",47.6607638804542,-122.744487387637,856672.167173665,1087322.44459057,,,,
"Private Road","2020-08-11T14:44:59-07:00",47.6503990204141,-122.739295808316,852856.148473727,1088494.09462534,,,,
"Railroad ","2020-08-12T09:41:26-07:00",47.6726387196877,-122.720624159033,860836.064579627,1093323.28515293,,,,
"Railroad ","2020-08-12T09:41:51-07:00",47.6672447640961,-122.71766676212,858848.572615428,1093996.38680405,,,,
"Railroad ","2020-08-12T09:42:02-07:00",47.6649754344042,-122.712995635502,857988.699916048,1095123.79903572,,,,
"Railroad Crossing","2020-08-03T09:52:30-07:00",47.5499869972583,-122.721046000248,816113.414056456,1091959.64953762,,,,
"Recheck With Trimmers","2020-06-22T15:10:26-07:00",47.4289833675131,-122.545880565984,770818.736950292,1134059.49967356,,,,
"Ryan Did This","2020-07-15T07:43:02-07:00",47.5105377645862,-122.513689246905,800353.060244528,1142784.53071166,,,,
"Ryan Did This","2020-07-15T07:43:14-07:00",47.5123563424261,-122.512869978632,801011.061679121,1143003.87528512,,,,
"Total Debris Barrier 420199","2020-07-15T11:42:46-07:00",47.5182574523974,-122.507602242739,803129.813198943,1144360.12021001,"Outlet not found. Slope not measured",,,
"US Private Possible Garbage People","2020-06-24T11:23:27-07:00",47.4181218540388,-122.548200587631,766873.041209466,1133382.55305677,,,,
"420110 Submerged Pipe","2020-07-22T15:09:23-07:00",47.5221172614511,-122.533482807471,804701.153121239,1138003.01844122,,,,
"420111","2020-07-22T15:07:53-07:00",47.5221389714813,-122.534057618725,804712.731797988,1137861.23520888,,,,
"420203","2020-07-21T10:18:10-07:00",47.5212078896409,-122.578830423757,804661.610079635,1126792.78368606,"0 passable ",,,
"420204","2020-07-21T11:00:13-07:00",47.524255324152,-122.576931367074,805760.520389843,1127291.14975419,"Level B complete ",,,
"420205","2020-07-22T11:41:15-07:00",47.5300712917277,-122.563027837944,807791.227146937,1130780.84570395,"0 passable ",,,
"420208","2020-07-21T14:46:48-07:00",47.51462665118,-122.559256177643,802134.839200976,1131565.28763632,"0 passable. Water surface drop 1.2 meters",,,
"420209","2020-07-22T14:02:05-07:00",47.5320758176197,-122.556954664013,808483.018831935,1132299.84577376,,,,
"420212","2020-07-22T16:05:52-07:00",47.5222339579738,-122.541244313443,804793.239921429,1136086.90796274,"0 passable ",,,
"420213","2020-07-22T16:05:17-07:00",47.5237371661203,-122.525660756773,805242.146527124,1139950.36467274,"Tidal, unknown pass ability ",,,
"420219","2020-08-10T10:08:14-07:00",47.6797181621641,-122.741639737897,863564.138202672,1088220.46950647,"0 passable ",,,
"420227","2020-08-10T11:12:30-07:00",47.6798189149939,-122.738876782764,863581.548433406,1088901.94461441,,,,
"420236","2020-08-25T11:12:36-07:00",47.9016301822925,-122.53511347921,943118.936993305,1141172.08149362,"33 passable ",,,
"420247","2020-09-21T11:18:03-07:00",47.7986074281428,-122.504432548414,905350.945474103,1147741.87690582,"0 passable",,,
"420249","2020-09-21T13:23:15-07:00",47.8093700573427,-122.514782841576,909341.077229278,1145298.69058026,"0 passable",,,
"420250","2020-09-21T13:42:38-07:00",47.809476634787,-122.512953121143,909368.467858949,1145749.22538165,,,,
"420251","2020-09-21T14:35:20-07:00",47.7844046292111,-122.50202639933,900155.934892577,1148201.65844619,,,,
"420258","2020-10-05T14:35:02-07:00",47.7678135453226,-122.554872048145,894439.177297157,1135054.34217261,,,,
"420260","2020-10-06T11:18:00-07:00",47.7725917656866,-122.555232333202,896184.129708057,1135011.17299134,"0 passable ",,,
"420266","2020-10-05T13:17:06-07:00",47.7562106273962,-122.549270920057,890171.700682523,1136321.57256713,"0 passable",,,
"420267","2020-10-05T14:07:19-07:00",47.763293731819,-122.551979223645,892772.256987696,1135722.73188265,"0 passable",,,
"Habitat Ends At Outlet","2020-09-21T14:30:48-07:00",47.7856073427381,-122.49927706884,900577.437930011,1148888.58029657,"RND, pcc, 0.38  Segmented culvert goes underground multiple yards before emerging back into channel",,,
"Habitat Ends At outlet ","2020-09-21T11:48:11-07:00",47.8060907780744,-122.503683843154,908075.583326182,1147995.21041214,"0.38, RND, pcc",,,
"Landowner Permission Needed","2020-07-22T15:07:38-07:00",47.5222229266008,-122.538336426326,804770.637719658,1136805.09492844,,,,
"NFB","2020-07-21T15:06:46-07:00",47.511372515415,-122.562860573197,800971.466031082,1130643.78695836,,,,
"NFB","2020-07-22T11:31:37-07:00",47.530227335422,-122.565019756319,807861.006439169,1130290.37871438,,,,
"NFB","2020-07-22T13:55:30-07:00",47.5308766718302,-122.557013916679,808046.117992661,1132273.80587322,,,,
"NFB","2020-07-22T15:28:17-07:00",47.5226945238814,-122.528584871024,804880.499373056,1139218.30207306,,,,
"NFB","2020-07-22T15:32:47-07:00",47.5230300062771,-122.528000192104,804999.123004449,1139365.87180534,,,,
"NFB","2020-07-22T15:34:52-07:00",47.5234407158595,-122.52719579124,805143.785154092,1139568.418576,,,,
"NFB","2020-07-22T15:36:24-07:00",47.5237867656678,-122.526459210714,805265.300816491,1139753.60424183,,,,
"NFB","2020-08-10T11:40:21-07:00",47.6712218673543,-122.747408438588,860506.288656675,1086711.51361419,"Scour too small ",,,
"NFB","2020-08-10T11:49:53-07:00",47.6714518608874,-122.744207893919,860567.707348779,1087502.22164379,"No usable channel upstream. Outlet flows directly into second culvert that goes underground and disappears onto Private property. Connected by drainage ditches",,,
"NFB","2020-08-10T11:55:42-07:00",47.6721042997936,-122.74452898931,860807.878647377,1087429.90556531,"Scour too small",,,
"NFB","2020-08-10T12:01:28-07:00",47.6705197021883,-122.735311877626,860165.546438873,1089683.74489745,,,,
"NFB","2020-08-25T10:22:21-07:00",47.9042051149588,-122.530422483183,944028.449760023,1142346.78152528,,,,
"NFB","2020-08-25T10:56:20-07:00",47.9024277810139,-122.542855623408,943458.944867996,1139280.77460903,,,,
"NFB","2020-08-25T11:40:46-07:00",47.8899968433099,-122.539120644038,938901.260576183,1140079.5652113,,,,
"NFB","2020-09-21T12:52:35-07:00",47.7994877787612,-122.496552177142,905622.900383848,1149686.5287485,"Storm drain hurried",,,
"NFB","2020-09-21T14:34:58-07:00",47.7852051820208,-122.500818911841,900440.375683627,1148505.87359442,,,,
"NFB","2020-09-21T14:39:00-07:00",47.7870313442562,-122.499740493859,901099.681437951,1148787.84019983,,,,
"NFB","2020-09-21T14:43:58-07:00",47.7884464078618,-122.503840108514,901641.35520793,1147793.29572432,,,,
"NFB Drainage Into Ravine","2020-08-25T11:37:43-07:00",47.8952599374496,-122.538127087425,940814.581726819,1140372.91185236,,,,
"No Site","2020-06-01T10:48:28-07:00",47.4063629825179,-122.76204626513,764031.945515983,1080335.67703428,,,,
"No Site","2020-06-01T10:48:40-07:00",47.4062738216339,-122.761105838428,763992.75976833,1080567.53001402,,,,
"No Site","2020-06-01T10:48:51-07:00",47.406239409926,-122.758729759019,763963.356717466,1081155.32626913,,,,
"No Site","2020-08-25T11:40:34-07:00",47.8958342104502,-122.538753626719,941028.010712062,1140224.64305374,,,,
"No Site","2020-09-21T14:23:18-07:00",47.7948470720065,-122.522449309513,904092.52860532,1143279.28290473,,,,
"No Site","2020-10-05T14:00:07-07:00",47.7623329831548,-122.551316718971,892417.629122912,1135876.52678675,,,,
"Placemark 4","2020-06-01T11:19:07-07:00",47.4131627865721,-122.758665663552,766487.278733065,1081243.49815529,,,,
"Placemark 5","2020-06-01T11:19:14-07:00",47.4197777520594,-122.75325285161,768860.888655819,1082652.09169289,,,,
"Placemark 6","2020-06-01T11:19:21-07:00",47.4196556360589,-122.746683597542,768769.977058932,1084276.51938778,,,,
"Placemark 7","2020-06-03T09:38:52-07:00",47.4399447894118,-122.727283742088,776031.689308401,1089286.39773771,,,,
"Placemark 8","2020-06-08T10:06:40-07:00",47.4240384945999,-122.693449785542,769997.192232664,1097494.93889697,,,,
"Placemark 9","2020-06-08T10:06:47-07:00",47.4271675201325,-122.689975316246,771114.225600984,1098386.40233263,,,,
"Placemark 10","2020-06-08T10:06:51-07:00",47.4251696198707,-122.687900123239,770371.481193149,1098879.67938124,,,,
"Placemark 11","2020-06-08T10:48:26-07:00",47.4240655298367,-122.675662451318,769885.113292446,1101896.8028454,,,,
"Placemark 12","2020-07-21T09:37:33-07:00",47.5159965831122,-122.585383088073,802804.011819104,1125123.91703204,,,,
"Placemark 17","2020-07-21T14:59:21-07:00",47.5138149870721,-122.560303919567,801845.619999812,1131298.71189009,,,,
"Placemark 20","2020-07-22T13:28:22-07:00",47.5314056981663,-122.556910304409,808238.366135733,1132304.42724389,,,,
"Possible Landowner Denial","2020-07-22T15:17:42-07:00",47.5221150227357,-122.532517103927,804694.187060145,1138241.54144909,,,,
"Private Driveway","2020-09-21T13:31:57-07:00",47.8095485418821,-122.510683637905,909380.468925804,1146307.48089174,,,,
"Private Road","2020-08-10T11:57:10-07:00",47.6654442321181,-122.746756300842,858394.827167148,1086812.11104903,,,,
